Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,AveMonthSpend,BikeBuyer,Year,Age
Bachelors ,Professional,M,M,1,0,0,2,137947,89,0,1966,32
Bachelors ,Professional,M,S,0,1,3,3,101141,117,1,1965,33
Bachelors ,Professional,M,M,1,1,3,3,91945,123,0,1965,33
Bachelors ,Professional,F,S,0,1,0,0,86688,50,0,1968,30
Bachelors ,Professional,F,S,1,4,5,5,92771,95,1,1968,30
Bachelors ,Professional,M,S,1,1,0,0,103199,78,1,1965,33
Bachelors ,Professional,F,S,1,1,0,0,84756,54,1,1965,33
Bachelors ,Professional,M,M,1,2,3,3,109759,130,1,1964,34
Bachelors ,Professional,F,S,1,3,4,4,88005,85,1,1964,34
Bachelors ,Professional,M,S,0,1,0,0,106399,74,0,1964,34
Bachelors ,Professional,F,S,0,1,0,0,81294,49,0,1964,34
Bachelors ,Professional,M,M,1,4,4,4,94029,146,1,1963,35
Bachelors ,Management,F,M,1,2,0,2,99245,55,1,1968,30
Bachelors ,Management,M,M,1,3,0,2,115859,84,0,1968,30
Bachelors ,Management,F,S,0,3,0,3,105157,49,0,1968,30
Partial College,Skilled Manual,F,S,0,1,0,0,40011,39,0,1979,19
Partial College,Skilled Manual,M,M,1,1,0,0,46808,68,0,1979,19
High School,Skilled Manual,M,S,0,2,0,0,49455,64,1,1978,20
High School,Skilled Manual,M,S,0,2,0,0,43857,64,0,1978,20
Partial College,Skilled Manual,M,M,1,1,0,0,50046,71,0,1978,20
Partial College,Skilled Manual,M,M,1,2,0,0,91276,77,0,1978,20
Partial High School,Clerical,M,M,1,2,1,2,24334,70,0,1945,53
Partial College,Clerical,M,S,0,2,0,2,61905,63,0,1946,52
Partial College,Clerical,M,M,1,2,0,2,49349,76,0,1946,52
Partial College,Clerical,F,M,1,2,0,2,44068,43,0,1946,52
High School,Skilled Manual,F,M,1,2,0,4,18843,43,0,1947,51
High School,Skilled Manual,F,M,1,2,0,4,15861,42,0,1947,51
High School,Skilled Manual,M,M,1,2,0,4,35822,58,0,1947,51
High School,Skilled Manual,F,M,1,2,0,4,29017,39,0,1947,51
Partial High School,Clerical,F,M,1,2,1,2,11721,50,0,1948,50
Partial College,Skilled Manual,F,M,1,2,0,0,84890,52,0,1978,20
Partial High School,Clerical,F,S,0,2,0,0,48651,46,0,1977,21
Bachelors ,Professional,M,S,0,2,0,0,129497,73,1,1975,23
Partial College,Skilled Manual,M,M,1,2,0,0,56248,65,0,1977,21
Partial College,Skilled Manual,F,M,1,2,0,0,78170,51,0,1977,21
Partial College,Skilled Manual,F,M,1,2,0,0,70623,55,0,1977,21
Partial College,Skilled Manual,M,M,1,2,0,0,78150,77,0,1976,22
Partial High School,Clerical,M,M,1,2,1,2,24007,76,0,1949,49
High School,Skilled Manual,M,S,0,2,0,3,51472,63,0,1950,48
High School,Skilled Manual,F,M,1,2,0,3,50798,48,0,1950,48
High School,Skilled Manual,F,M,0,2,0,3,42738,43,0,1950,48
Partial High School,Clerical,F,S,1,2,0,0,48422,41,1,1980,18
High School,Skilled Manual,M,M,1,2,0,3,58585,73,0,1951,47
High School,Skilled Manual,M,S,0,2,0,3,45982,64,0,1951,47
Partial College,Clerical,F,S,0,2,0,2,50790,49,0,1951,47
Partial College,Skilled Manual,F,M,0,2,0,0,91599,51,0,1980,18
Partial College,Skilled Manual,F,M,1,2,0,2,50018,43,0,1952,46
Partial College,Skilled Manual,M,M,1,2,0,2,53459,75,0,1952,46
Partial College,Skilled Manual,F,M,1,2,0,3,38588,46,0,1953,45
Graduate Degree,Management,M,M,1,2,0,2,119540,82,0,1953,45
Partial College,Skilled Manual,M,M,1,2,0,2,119982,87,0,1954,44
Partial College,Skilled Manual,F,S,1,2,0,2,86953,45,0,1954,44
Partial College,Skilled Manual,M,M,1,2,0,2,116368,87,0,1954,44
Partial College,Skilled Manual,M,M,1,2,0,2,110712,84,1,1954,44
High School,Skilled Manual,M,M,1,2,0,0,52145,71,0,1975,23
High School,Skilled Manual,F,S,1,2,0,0,49609,40,0,1975,23
High School,Skilled Manual,M,M,1,2,0,0,58306,76,0,1975,23
Partial College,Skilled Manual,F,M,0,2,0,0,73388,48,1,1973,25
Partial College,Professional,F,M,1,2,0,0,61686,50,0,1973,25
Partial College,Professional,M,S,1,2,0,0,96049,70,1,1976,22
High School,Skilled Manual,M,M,1,2,0,2,109883,87,0,1955,43
High School,Skilled Manual,F,S,1,2,0,2,106718,51,0,1955,43
High School,Skilled Manual,F,S,0,2,0,2,97646,52,0,1955,43
High School,Skilled Manual,F,S,1,2,0,2,58916,51,0,1956,42
High School,Skilled Manual,M,S,1,2,0,2,93934,74,0,1956,42
High School,Professional,F,S,1,2,0,2,99137,51,0,1957,41
High School,Professional,M,S,1,2,0,2,112044,73,0,1957,41
High School,Professional,F,S,0,2,0,2,108728,55,0,1957,41
