Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,Age,AveMonthSpend
Bachelors ,Professional,M,M,1,0,0,2,137947,32,89
Bachelors ,Professional,M,S,0,1,3,3,101141,33,117
Bachelors ,Professional,M,M,1,1,3,3,91945,33,123
Bachelors ,Professional,F,S,0,1,0,0,86688,30,50
Bachelors ,Professional,F,S,1,4,5,5,92771,30,95
Bachelors ,Professional,M,S,1,1,0,0,103199,33,78
Bachelors ,Professional,F,S,1,1,0,0,84756,33,54
Bachelors ,Professional,M,M,1,2,3,3,109759,34,130
Bachelors ,Professional,F,S,1,3,4,4,88005,34,85
Bachelors ,Professional,M,S,0,1,0,0,106399,34,74
Bachelors ,Professional,F,S,0,1,0,0,81294,34,49
Bachelors ,Professional,M,M,1,4,4,4,94029,35,146
Bachelors ,Management,F,M,1,2,0,2,99245,30,55
Bachelors ,Management,M,M,1,3,0,2,115859,30,84
Bachelors ,Management,F,S,0,3,0,3,105157,30,49
Partial College,Skilled Manual,F,S,0,1,0,0,40011,19,39
Partial College,Skilled Manual,M,M,1,1,0,0,46808,19,68
High School,Skilled Manual,M,S,0,2,0,0,49455,20,64
High School,Skilled Manual,M,S,0,2,0,0,43857,20,64
Partial College,Skilled Manual,M,M,1,1,0,0,50046,20,71
Partial College,Skilled Manual,M,M,1,2,0,0,91276,20,77
Partial High School,Clerical,M,M,1,2,1,2,24334,53,70
Partial College,Clerical,M,S,0,2,0,2,61905,52,63
Partial College,Clerical,M,M,1,2,0,2,49349,52,76
Partial College,Clerical,F,M,1,2,0,2,44068,52,43
High School,Skilled Manual,F,M,1,2,0,4,18843,51,43
High School,Skilled Manual,F,M,1,2,0,4,15861,51,42
High School,Skilled Manual,M,M,1,2,0,4,35822,51,58
High School,Skilled Manual,F,M,1,2,0,4,29017,51,39
Partial High School,Clerical,F,M,1,2,1,2,11721,50,50
Partial College,Skilled Manual,F,M,1,2,0,0,84890,20,52
Partial High School,Clerical,F,S,0,2,0,0,48651,21,46
Bachelors ,Professional,M,S,0,2,0,0,129497,23,73
Partial College,Skilled Manual,M,M,1,2,0,0,56248,21,65
Partial College,Skilled Manual,F,M,1,2,0,0,78170,21,51
Partial College,Skilled Manual,F,M,1,2,0,0,70623,21,55
Partial College,Skilled Manual,M,M,1,2,0,0,78150,22,77
Partial High School,Clerical,M,M,1,2,1,2,24007,49,76
High School,Skilled Manual,M,S,0,2,0,3,51472,48,63
High School,Skilled Manual,F,M,1,2,0,3,50798,48,48
High School,Skilled Manual,F,M,0,2,0,3,42738,48,43
Partial High School,Clerical,F,S,1,2,0,0,48422,18,41
High School,Skilled Manual,M,M,1,2,0,3,58585,47,73
High School,Skilled Manual,M,S,0,2,0,3,45982,47,64
Partial College,Clerical,F,S,0,2,0,2,50790,47,49
Partial College,Skilled Manual,F,M,0,2,0,0,91599,18,51
Partial College,Skilled Manual,F,M,1,2,0,2,50018,46,43
Partial College,Skilled Manual,M,M,1,2,0,2,53459,46,75
Partial College,Skilled Manual,F,M,1,2,0,3,38588,45,46
Graduate Degree,Management,M,M,1,2,0,2,119540,45,82
Partial College,Skilled Manual,M,M,1,2,0,2,119982,44,87
Partial College,Skilled Manual,F,S,1,2,0,2,86953,44,45
Partial College,Skilled Manual,M,M,1,2,0,2,116368,44,87
Partial College,Skilled Manual,M,M,1,2,0,2,110712,44,84
High School,Skilled Manual,M,M,1,2,0,0,52145,23,71
High School,Skilled Manual,F,S,1,2,0,0,49609,23,40
High School,Skilled Manual,M,M,1,2,0,0,58306,23,76
Partial College,Skilled Manual,F,M,0,2,0,0,73388,25,48
Partial College,Professional,F,M,1,2,0,0,61686,25,50
Partial College,Professional,M,S,1,2,0,0,96049,22,70
High School,Skilled Manual,M,M,1,2,0,2,109883,43,87
High School,Skilled Manual,F,S,1,2,0,2,106718,43,51
High School,Skilled Manual,F,S,0,2,0,2,97646,43,52
High School,Skilled Manual,F,S,1,2,0,2,58916,42,51
High School,Skilled Manual,M,S,1,2,0,2,93934,42,74
High School,Professional,F,S,1,2,0,2,99137,41,51
High School,Professional,M,S,1,2,0,2,112044,41,73
High School,Professional,F,S,0,2,0,2,108728,41,55
High School,Professional,F,S,0,2,0,0,49084,24,48
Graduate Degree,Management,M,S,1,2,0,0,172444,39,87
Graduate Degree,Management,M,M,1,2,0,0,181590,39,92
Bachelors ,Management,F,M,1,3,2,2,148109,32,76
Graduate Degree,Management,F,S,0,3,1,1,149717,32,62
Graduate Degree,Management,F,M,1,3,1,1,163913,32,68
High School,Professional,F,S,0,2,0,2,66900,41,47
Partial College,Professional,M,M,1,0,1,2,97834,41,98
Bachelors ,Management,M,M,1,0,1,2,129910,41,104
Bachelors ,Management,F,S,1,1,1,2,91729,41,57
Partial College,Professional,M,S,1,1,0,2,113883,41,76
Partial College,Professional,M,M,1,1,0,2,112820,41,82
Graduate Degree,Management,F,M,1,0,0,0,106839,31,58
Partial College,Skilled Manual,M,S,0,1,0,1,88887,36,78
Partial College,Skilled Manual,M,S,1,1,0,1,108740,36,77
Bachelors ,Professional,M,M,1,1,0,1,106971,36,87
Partial College,Skilled Manual,M,M,1,1,0,1,98519,37,80
Partial College,Skilled Manual,F,S,0,1,0,1,82707,37,54
Bachelors ,Professional,M,M,1,1,0,1,103866,37,83
Partial College,Skilled Manual,F,S,1,1,0,1,66520,38,46
Bachelors ,Professional,F,S,0,1,0,0,75270,33,47
Bachelors ,Professional,F,S,1,4,5,5,95167,33,89
Bachelors ,Professional,F,S,1,1,0,0,85087,34,49
Bachelors ,Professional,M,M,0,1,0,0,102445,34,85
Bachelors ,Professional,F,S,0,1,0,0,88445,34,52
Bachelors ,Professional,M,S,0,1,0,0,97782,34,74
Bachelors ,Professional,F,M,1,1,0,1,117317,39,54
Bachelors ,Professional,M,S,0,2,0,0,106891,35,79
Partial College,Skilled Manual,M,M,1,1,0,1,77012,36,74
Partial College,Skilled Manual,F,M,1,1,0,1,62702,36,56
Partial College,Skilled Manual,F,M,1,1,0,1,73151,36,51
Bachelors ,Professional,M,M,1,2,4,5,104220,36,142
Partial High School,Manual,M,S,0,2,0,0,18709,25,61
Partial College,Skilled Manual,M,M,1,2,4,5,93330,36,141
Partial College,Skilled Manual,M,M,1,2,4,5,86770,36,140
Partial College,Skilled Manual,F,M,1,3,4,5,73276,37,84
Partial College,Clerical,M,S,0,2,0,2,51078,63,58
Bachelors ,Management,F,S,1,1,0,2,52280,62,37
Partial College,Skilled Manual,M,M,1,3,4,5,88615,38,143
Partial College,Skilled Manual,M,M,1,3,4,5,102114,38,140
Partial College,Skilled Manual,M,S,1,1,0,1,106875,41,80
Partial College,Skilled Manual,F,S,1,1,0,1,65730,42,46
High School,Skilled Manual,M,M,0,2,1,2,32857,49,75
High School,Skilled Manual,F,M,1,1,0,0,46078,23,46
High School,Skilled Manual,F,S,1,1,0,0,32122,23,37
High School,Skilled Manual,F,M,1,2,0,0,34879,18,48
High School,Skilled Manual,F,M,0,2,0,0,39266,18,44
High School,Skilled Manual,F,S,0,2,0,0,44139,18,40
Partial High School,Clerical,F,S,0,2,0,0,37010,18,34
High School,Skilled Manual,M,S,1,2,0,5,26209,52,64
Partial High School,Clerical,M,S,0,2,0,0,64613,19,63
High School,Skilled Manual,F,S,0,2,0,0,38527,20,46
High School,Skilled Manual,F,M,1,2,0,0,42811,20,47
High School,Skilled Manual,F,M,0,2,0,0,48772,20,45
Partial College,Clerical,F,S,0,2,0,2,27610,60,39
Partial High School,Clerical,M,S,0,2,0,0,64633,21,69
High School,Skilled Manual,F,M,0,2,0,0,32916,21,43
High School,Skilled Manual,M,S,0,2,0,0,63488,21,73
High School,Skilled Manual,M,M,1,2,0,0,43666,21,70
High School,Skilled Manual,M,S,0,2,0,0,54938,19,64
High School,Skilled Manual,F,S,0,2,0,0,29691,19,37
Bachelors ,Management,F,S,1,2,0,2,66934,59,47
Graduate Degree,Management,M,M,1,1,0,2,124211,59,78
Bachelors ,Management,M,M,1,2,0,2,63251,57,67
Bachelors ,Management,M,M,1,2,0,2,82448,57,71
Bachelors ,Management,M,S,1,2,0,2,77855,57,69
Graduate Degree,Management,F,S,0,1,0,2,94385,56,46
High School,Skilled Manual,M,S,1,2,0,0,62553,22,72
High School,Skilled Manual,F,M,1,2,0,0,37229,22,42
Partial College,Skilled Manual,F,S,1,1,0,0,33375,22,38
Partial College,Skilled Manual,M,S,0,1,0,0,60713,22,68
High School,Skilled Manual,F,M,1,2,0,0,45639,23,50
High School,Skilled Manual,M,S,1,2,0,0,57274,23,65
High School,Skilled Manual,F,S,0,2,0,0,32033,23,40
Partial College,Skilled Manual,M,S,0,1,0,0,54434,24,69
Partial College,Skilled Manual,F,S,0,1,0,0,46024,24,44
Partial College,Skilled Manual,M,M,1,1,0,0,56829,24,66
Partial College,Skilled Manual,M,S,0,1,0,0,48946,24,64
Partial College,Skilled Manual,F,M,0,1,0,0,89154,25,52
Partial College,Skilled Manual,F,S,0,2,0,0,70041,26,46
Bachelors ,Management,M,M,1,1,4,4,116323,30,141
Bachelors ,Management,F,M,1,1,4,4,104668,30,91
Bachelors ,Management,M,S,1,2,0,1,128776,31,80
Bachelors ,Management,F,M,1,2,0,1,97616,31,55
